ENRICHMENT_Extract_SA_Public_Holiday_2020_2024,,,,,,,,,,,
date,year,day_name,is_holiday,holiday_name,holiday_scope,holiday_block,holiday_source_basis,long_weekend_flag,day_before_full_day_holiday_flag,day_after_full_day_holiday_flag,holiday_related_flag
3/10/2020,2020,Saturday,0,,,,,No,No,No,No
4/10/2020,2020,Sunday,0,,,,,No,Yes,No,Yes
5/10/2020,2020,Monday,1,Labour Day,full_day,Labour Day,official,Yes,No,No,Yes
6/10/2020,2020,Tuesday,0,,,,,No,No,Yes,Yes
7/10/2020,2020,Wednesday,0,,,,,No,No,No,No
8/10/2020,2020,Thursday,0,,,,,No,No,No,No
9/10/2020,2020,Friday,0,,,,,No,No,No,No
10/10/2020,2020,Saturday,0,,,,,No,No,No,No
11/10/2020,2020,Sunday,0,,,,,No,No,No,No
12/10/2020,2020,Monday,0,,,,,No,No,No,No
13/10/2020,2020,Tuesday,0,,,,,No,No,No,No
14/10/2020,2020,Wednesday,0,,,,,No,No,No,No
15/10/2020,2020,Thursday,0,,,,,No,No,No,No
16/10/2020,2020,Friday,0,,,,,No,No,No,No
17/10/2020,2020,Saturday,0,,,,,No,No,No,No
18/10/2020,2020,Sunday,0,,,,,No,No,No,No
19/10/2020,2020,Monday,0,,,,,No,No,No,No
20/10/2020,2020,Tuesday,0,,,,,No,No,No,No
21/10/2020,2020,Wednesday,0,,,,,No,No,No,No
22/10/2020,2020,Thursday,0,,,,,No,No,No,No
23/10/2020,2020,Friday,0,,,,,No,No,No,No
24/10/2020,2020,Saturday,0,,,,,No,No,No,No
25/10/2020,2020,Sunday,0,,,,,No,No,No,No
26/10/2020,2020,Monday,0,,,,,No,No,No,No
27/10/2020,2020,Tuesday,0,,,,,No,No,No,No
28/10/2020,2020,Wednesday,0,,,,,No,No,No,No
29/10/2020,2020,Thursday,0,,,,,No,No,No,No
30/10/2020,2020,Friday,0,,,,,No,No,No,No
31/10/2020,2020,Saturday,0,,,,,No,No,No,No
1/11/2020,2020,Sunday,0,,,,,No,No,No,No
2/11/2020,2020,Monday,0,,,,,No,No,No,No
3/11/2020,2020,Tuesday,0,,,,,No,No,No,No
4/11/2020,2020,Wednesday,0,,,,,No,No,No,No
5/11/2020,2020,Thursday,0,,,,,No,No,No,No
6/11/2020,2020,Friday,0,,,,,No,No,No,No
7/11/2020,2020,Saturday,0,,,,,No,No,No,No
8/11/2020,2020,Sunday,0,,,,,No,No,No,No
9/11/2020,2020,Monday,0,,,,,No,No,No,No
10/11/2020,2020,Tuesday,0,,,,,No,No,No,No
11/11/2020,2020,Wednesday,0,,,,,No,No,No,No
12/11/2020,2020,Thursday,0,,,,,No,No,No,No
13/11/2020,2020,Friday,0,,,,,No,No,No,No
14/11/2020,2020,Saturday,0,,,,,No,No,No,No
15/11/2020,2020,Sunday,0,,,,,No,No,No,No
16/11/2020,2020,Monday,0,,,,,No,No,No,No
17/11/2020,2020,Tuesday,0,,,,,No,No,No,No
18/11/2020,2020,Wednesday,0,,,,,No,No,No,No
19/11/2020,2020,Thursday,0,,,,,No,No,No,No
20/11/2020,2020,Friday,0,,,,,No,No,No,No
21/11/2020,2020,Saturday,0,,,,,No,No,No,No
22/11/2020,2020,Sunday,0,,,,,No,No,No,No
23/11/2020,2020,Monday,0,,,,,No,No,No,No
24/11/2020,2020,Tuesday,0,,,,,No,No,No,No
25/11/2020,2020,Wednesday,0,,,,,No,No,No,No
26/11/2020,2020,Thursday,0,,,,,No,No,No,No
27/11/2020,2020,Friday,0,,,,,No,No,No,No
28/11/2020,2020,Saturday,0,,,,,No,No,No,No
29/11/2020,2020,Sunday,0,,,,,No,No,No,No
30/11/2020,2020,Monday,0,,,,,No,No,No,No
1/12/2020,2020,Tuesday,0,,,,,No,No,No,No
2/12/2020,2020,Wednesday,0,,,,,No,No,No,No
3/12/2020,2020,Thursday,0,,,,,No,No,No,No
4/12/2020,2020,Friday,0,,,,,No,No,No,No
5/12/2020,2020,Saturday,0,,,,,No,No,No,No
6/12/2020,2020,Sunday,0,,,,,No,No,No,No
7/12/2020,2020,Monday,0,,,,,No,No,No,No
8/12/2020,2020,Tuesday,0,,,,,No,No,No,No
9/12/2020,2020,Wednesday,0,,,,,No,No,No,No
10/12/2020,2020,Thursday,0,,,,,No,No,No,No
11/12/2020,2020,Friday,0,,,,,No,No,No,No
12/12/2020,2020,Saturday,0,,,,,No,No,No,No
13/12/2020,2020,Sunday,0,,,,,No,No,No,No
14/12/2020,2020,Monday,0,,,,,No,No,No,No
15/12/2020,2020,Tuesday,0,,,,,No,No,No,No
16/12/2020,2020,Wednesday,0,,,,,No,No,No,No
17/12/2020,2020,Thursday,0,,,,,No,No,No,No
18/12/2020,2020,Friday,0,,,,,No,No,No,No
19/12/2020,2020,Saturday,0,,,,,No,No,No,No
20/12/2020,2020,Sunday,0,,,,,No,No,No,No
21/12/2020,2020,Monday,0,,,,,No,No,No,No
22/12/2020,2020,Tuesday,0,,,,,No,No,No,No
23/12/2020,2020,Wednesday,0,,,,,No,No,No,No
24/12/2020,2020,Thursday,1,Christmas Eve (7pm to midnight),part_day,Christmas-New Year,official,Yes,Yes,No,Yes
25/12/2020,2020,Friday,1,Christmas Day,full_day,Christmas-New Year,official,Yes,No,No,Yes
26/12/2020,2020,Saturday,0,,,,,No,No,Yes,Yes
27/12/2020,2020,Sunday,0,,,,,No,Yes,No,Yes
28/12/2020,2020,Monday,1,Proclamation Day holiday,full_day,Christmas-New Year,official,Yes,No,No,Yes
29/12/2020,2020,Tuesday,0,,,,,No,No,Yes,Yes
30/12/2020,2020,Wednesday,0,,,,,No,No,No,No
31/12/2020,2020,Thursday,1,New Year's Eve (7pm to midnight),part_day,Christmas-New Year,official,Yes,Yes,No,Yes
1/1/2021,2021,Friday,1,New Year's Day,full_day,New Year,official,Yes,No,No,Yes
2/1/2021,2021,Saturday,0,,,,,No,No,Yes,Yes
3/1/2021,2021,Sunday,0,,,,,No,No,No,No
4/1/2021,2021,Monday,0,,,,,No,No,No,No
5/1/2021,2021,Tuesday,0,,,,,No,No,No,No
6/1/2021,2021,Wednesday,0,,,,,No,No,No,No
7/1/2021,2021,Thursday,0,,,,,No,No,No,No
8/1/2021,2021,Friday,0,,,,,No,No,No,No
9/1/2021,2021,Saturday,0,,,,,No,No,No,No
10/1/2021,2021,Sunday,0,,,,,No,No,No,No
11/1/2021,2021,Monday,0,,,,,No,No,No,No
12/1/2021,2021,Tuesday,0,,,,,No,No,No,No
13/1/2021,2021,Wednesday,0,,,,,No,No,No,No
14/1/2021,2021,Thursday,0,,,,,No,No,No,No
15/1/2021,2021,Friday,0,,,,,No,No,No,No
16/1/2021,2021,Saturday,0,,,,,No,No,No,No
17/1/2021,2021,Sunday,0,,,,,No,No,No,No
18/1/2021,2021,Monday,0,,,,,No,No,No,No
19/1/2021,2021,Tuesday,0,,,,,No,No,No,No
20/1/2021,2021,Wednesday,0,,,,,No,No,No,No
21/1/2021,2021,Thursday,0,,,,,No,No,No,No
22/1/2021,2021,Friday,0,,,,,No,No,No,No
23/1/2021,2021,Saturday,0,,,,,No,No,No,No
24/1/2021,2021,Sunday,0,,,,,No,No,No,No
25/1/2021,2021,Monday,0,,,,,No,Yes,No,Yes
26/1/2021,2021,Tuesday,1,Australia Day,full_day,Australia Day,official,No,No,No,Yes
27/1/2021,2021,Wednesday,0,,,,,No,No,Yes,Yes
28/1/2021,2021,Thursday,0,,,,,No,No,No,No
29/1/2021,2021,Friday,0,,,,,No,No,No,No
30/1/2021,2021,Saturday,0,,,,,No,No,No,No
31/1/2021,2021,Sunday,0,,,,,No,No,No,No
1/2/2021,2021,Monday,0,,,,,No,No,No,No
2/2/2021,2021,Tuesday,0,,,,,No,No,No,No
3/2/2021,2021,Wednesday,0,,,,,No,No,No,No
4/2/2021,2021,Thursday,0,,,,,No,No,No,No
5/2/2021,2021,Friday,0,,,,,No,No,No,No
6/2/2021,2021,Saturday,0,,,,,No,No,No,No
7/2/2021,2021,Sunday,0,,,,,No,No,No,No
8/2/2021,2021,Monday,0,,,,,No,No,No,No
9/2/2021,2021,Tuesday,0,,,,,No,No,No,No
10/2/2021,2021,Wednesday,0,,,,,No,No,No,No
11/2/2021,2021,Thursday,0,,,,,No,No,No,No
12/2/2021,2021,Friday,0,,,,,No,No,No,No
13/2/2021,2021,Saturday,0,,,,,No,No,No,No
14/2/2021,2021,Sunday,0,,,,,No,No,No,No
15/2/2021,2021,Monday,0,,,,,No,No,No,No
16/2/2021,2021,Tuesday,0,,,,,No,No,No,No
17/2/2021,2021,Wednesday,0,,,,,No,No,No,No
18/2/2021,2021,Thursday,0,,,,,No,No,No,No
19/2/2021,2021,Friday,0,,,,,No,No,No,No
20/2/2021,2021,Saturday,0,,,,,No,No,No,No
21/2/2021,2021,Sunday,0,,,,,No,No,No,No
22/2/2021,2021,Monday,0,,,,,No,No,No,No
23/2/2021,2021,Tuesday,0,,,,,No,No,No,No
24/2/2021,2021,Wednesday,0,,,,,No,No,No,No
25/2/2021,2021,Thursday,0,,,,,No,No,No,No
26/2/2021,2021,Friday,0,,,,,No,No,No,No
27/2/2021,2021,Saturday,0,,,,,No,No,No,No
28/2/2021,2021,Sunday,0,,,,,No,No,No,No
1/3/2021,2021,Monday,0,,,,,No,No,No,No
2/3/2021,2021,Tuesday,0,,,,,No,No,No,No
3/3/2021,2021,Wednesday,0,,,,,No,No,No,No
4/3/2021,2021,Thursday,0,,,,,No,No,No,No
5/3/2021,2021,Friday,0,,,,,No,No,No,No
6/3/2021,2021,Saturday,0,,,,,No,No,No,No
7/3/2021,2021,Sunday,0,,,,,No,Yes,No,Yes
8/3/2021,2021,Monday,1,Adelaide Cup Day,full_day,Adelaide Cup,official,Yes,No,No,Yes
9/3/2021,2021,Tuesday,0,,,,,No,No,Yes,Yes
10/3/2021,2021,Wednesday,0,,,,,No,No,No,No
11/3/2021,2021,Thursday,0,,,,,No,No,No,No
12/3/2021,2021,Friday,0,,,,,No,No,No,No
13/3/2021,2021,Saturday,0,,,,,No,No,No,No
14/3/2021,2021,Sunday,0,,,,,No,No,No,No
15/3/2021,2021,Monday,0,,,,,No,No,No,No
16/3/2021,2021,Tuesday,0,,,,,No,No,No,No
17/3/2021,2021,Wednesday,0,,,,,No,No,No,No
18/3/2021,2021,Thursday,0,,,,,No,No,No,No
19/3/2021,2021,Friday,0,,,,,No,No,No,No
20/3/2021,2021,Saturday,0,,,,,No,No,No,No
21/3/2021,2021,Sunday,0,,,,,No,No,No,No
22/3/2021,2021,Monday,0,,,,,No,No,No,No
23/3/2021,2021,Tuesday,0,,,,,No,No,No,No
24/3/2021,2021,Wednesday,0,,,,,No,No,No,No
